Song Number,Song Name,Singer,Lyrics,Lyrics Status,Writer,Composer,Category,Image Name,Year,Recording Status,SoundCloud Link
200,إنت ورد,سيد بومدين (شادي الجبل),"إنت ورد في بستان طيبك بنه – إنت روائحك خبت روائح جنة
 إنت غايتي وأمنايا – وإنت اللي فالقبل دوم معايا
 نريدك رفيقة عمر يا مشكايا – ونتمتعوا بطعم الحياة ونتهنى
 
 إنت دواي الشافي – وإنت ربيع العين عز أولافي
 إنت مجدد في مب وان ريافي – وإنت رها عقلي وما نتمنى
 
 إنت الي حبيتك – وإنت اللي من خاطري غاليتك
 لا عمر هنتك لا سهيت نسيتك – رفيقة حياة نريدك بفرض وسنة
 
 إنت حدود أمالي – بلاك الحياة ما عمرها تحلالي
 وحق العقيد ما رديعك والي – ولا خاطري يرضى بغيرك حنّا",مكتوبة كاملة,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/mc4L9
201,بخزرة عيونه,سيد بومدين (شادي الجبل),بخزرة عيونه دوبني - شكله ظريف و يعجبي,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/dGLWX
202,بعدك طال ياغالي علينا,سيد بومدين (شادي الجبل),بعدك طال ياغالي علينا - ونار الشوق توقد دوم فينا,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,الصوت خافت,https://on.soundcloud.com/RE9Za
203,ترتج من راسها حتى قدمها,سيد بومدين (شادي الجبل),ترتج من راسها حتى قدمها - لزمها حكمها - مشي العوج من قبل لحوته قسمها,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/t9bUc
204,تغونينك على المرهونيين,سيد بومدين (شادي الجبل),تغونينك على المرهونيين - مخليك تسيلي يا عين,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/tURii
205,تمنيت سبع وجوه,سيد بومدين (شادي الجبل),"تمنيت سبع وجوه يوم مغيرة – ولا ارزيت من مولى الهدوب عزيرة
 من عدواني – قريبات ما فيهن بعيد خطاني
 ثقيلات خشن مع مسلاني – وبين الجواجي دايرات هويرة
 ولا بو نواظر لا عني ورزاني – ذهب شيرتي وخلف معايا حيره
 
 تمنيتهن في جاشي – قريبات ما فيهن بعيد خطاشي
 ريدي اللي منه الروح ضريرة – الي خزر عينه ضرب ما يخطاشي – معايا سكن ذقته لهيب سعيره
 
 تمنيتهن صابنّي – ثقيلات في وسط الكنين رزني
 ولا لاعني مولى العيون كونّي – سمح المسايل حلو جبد السيرة
 لنظار طانيهن وراه شقني – رقاق عزم دمعتهن عليه غزيرة
 
 تمنيتهن يا أخواني – ثقيلات في وسط الحشى جواني
 ولا رزيت مللي هاسني وكواني – تركني وخاطري في حيره
 تركني نزازي وخاطري في حيره – بعد هالعلل كانهو الغزيز جفاني – ننساه من بالي ونالف غيره
 غناوة علم في نفس الموضوع:
 جريتهن بنار عزيز – لنظارنا اللي نأتم بهمن",مكتوبة كاملة,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/iYfhe
206,حبك برد ما عاد توقد ناره,سيد بومدين (شادي الجبل),"حبك برد ما عاد توقد ناره - وما عاد تخطر يا كحيل نظاره
 ماعاد شي في بالي – ولاعاد عندي كيف قبل وتالي
 فيما مضى كنت العزيز الغالي – الي بيه يزهى العقل وان جضاره
 واليوم حرمته عليك أسوالي (سؤالي) – تركته جرر مدعاك هو وأوكاره
 تركت سريبك – وتارك هفت ما عاد شي ندويه بك
 فيما مضى كان خاطري شاقي بك - ويدورد عليك العقل وان غراره
 لاعاد تخطر لا العقل يجيبك – ولا عاد تستاهل غلا بأقداره
 
 ما يحضك مني – غلا بقيمته ولا عاد شي تشغلني
 يا طول ما حيك بنار ذبلني – واليوم مشهابك خمد مسعاره
 مضى وقت نا عقلي معاك ظلمني – عليك حال وأنت ما عرفت بكاره
 البرول
 أنظاري توبن ع الغيات – أنسن مدعى سمح الصفات
 أنسنها خير – الغيه وديرن عزم كبير
 شقاكن في بودور غزير – أحسن عدن ماضي فات
 أنسن طاريه – الغالي الي سود مياميه
 ولا تعازن يا أنظاري فيه – بعد فيكن دار سوايات
 بعد فيكن دار – سوايا وما صانش الأقدار
 وهان غلاكن يا الأنظار – أنسى ما فت غلانا ورفقتنا مدات",مكتوبة كاملة,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/1f556
207,حسيبك الله مالك سبب فى بكاهن,سيد بومدين (شادي الجبل),حسيبك الله مالك سبب فى بكاهن - غلاك جار ذيبلهن بنار كواهن,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/S7Jax
208,حلو لباسه البارح منامي جاب,سيد بومدين (شادي الجبل),"حلو لباسه البارح منامي جاب
 البارح منامي جاب حلو الباسه - وجايب على اثر الموح طولة ياسه
 منامي جابه - نظيف العضا مشكاي سمح اوجابه
 الموح باعده عني و ذقت عذابه - افراقه اللي حبه الخاطر هاسه
 جابه ليا - الغالي اللي واجد عزيز عليا
 امعاي قبل ناره خامدة مطفية - تحايت و منها المر قلبي قاسه
 جاب اولافي - اللي وين نطريهم ايزيد اريافي
 من يوم باعدوا و العقل ماهو صافي - عليهم امرايف حالتي منهاسه
 جابلي مواله - و خللا دموعي نازلة منهالة
 تمناه قلبي من كبير اهباله - ويعود له ماضيه سمح أنفاسه
 جاب زويله - اللي قبل عيني بسرها تشكيله
 يا طول ماجاني و أنا نمشيله - وياطول ما شربت الهوى من كاسه
 
 برول :
 يا عيني اللي في النوم ايجوك - امغير شقوك و قلوه نومك و ضلوك
 وان الترقيد - عليك يلفوا و الشوق ايزيد
 غلاهم من الخاطر ما ايبيد - اللي خفوك عليهم
 عار انهم نسيوك
 قلوه هناك - أولافك هم أسباب شقاك
 عليك صعبوا يا طول رجاك 
 اللي لاعوك - عليك وين يلفوا يشقوك
 نومك قلوه - و عقلك يا عيني خفوه
 اعزاز اللي ف النوم ايجوه - ابنار كووك سمرتي و بالدمعة بكوك",مكتوبة كاملة,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/pfdbq
209,دوبه لفا للعقل دوبه دوبه,سيد بومدين (شادي الجبل),دوبه لفا للعقل دوبه دوبه - غلاء للي مدهولني غزير هدوبه,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/wVaJ4
210,رميت النظر ما لقيت فيكن والي,سيد بومدين (شادي الجبل),رميت النظر ما لقيت فيكن والي - اليوم يا مكانات العزيز خوالي,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/nTzdn
211,سبحان من قال العزيز نهونه,سيد بومدين (شادي الجبل),سبحان من قال العزيز نهونه - ونصبرعلى فرقة كحيل اعيونه,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,لا بأس,https://on.soundcloud.com/JQbMp
212,صبري كمل,سيد بومدين (شادي الجبل),صبري كمل ما عاد عندي منه - و الدمع يدارف عليا كنه,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/R3Qm3
213,طال الليل وعيوني سهارة,سيد بومدين (شادي الجبل),"طال الليل وعيوني سهارة - من مشكاي توقد في ناره
 توقد بالعجل – ومنها العقل لافيله ...
 مغير ينوس واخرى هي تس (تسامه)... – بقوة نين خلاته دماره
 انا في خيال – ومتمنيه عندي مالهبا
 يكون حداي راقد بالحلال – لصبح الله ما رمشه تتواره
 واقد في عضايا – طول الليل نا تسعر مع ()
 شوقي زاد كابر بي د() – في المكنون ما هو شي مة
 توقد في كنيني - وحتى النوم منها ما يجيني
 صبري طال متقاوي حنيني - غاب الراي عندي والدبارة
 ... يا أصحاب – ومنها العقل قاسي ع الوجاب
 قلبي النار خلاته خراب – وشاطت فيه نين غبين آثاره
 برول:
 مابا يجي النوم سماره – انظاري يا عداد اللوم
 لا النوم يجي - خذا عقلي بو خد نقي – معاه انا غير (نزقيه) طاريلي مطرى (المخطوم)
 () ينسنه لا يروقن لين يتوقنّه - لا يرتاحن حتى يزونّه مشاهن شاغلهن دوم
 لا النوم يجيه – ذبل حالي ريدي الحبيب وراه سامر والدمع سكيب وراء الغالي ماجاني نوم",الكلمات غير مكتملة,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/hGVmq
214,عقلي والع بيه,سيد بومدين (شادي الجبل),عقلي والع بيه - حق العيون السود هللي فيه,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/PY6En
215,عقلي يستاهل ما يصيبه,سيد بومدين (شادي الجبل),عقلي يستاهل ما يصيبه - جاها بيده - نار المرهونين شديدة,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/YQHNU
216,عيونك كبار و سود من مولاهن,سيد بومدين (شادي الجبل),عيونك كبار و سود من مولاهن - ظلن و ظلني مشيت وراهن,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/QW9hw
217,غزال لاعني بشبت عيونه فيا,سيد بومدين (شادي الجبل),غزال لاعني بشبت عيونه فيا - تركني انزازي والعزى مافيا,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/CUfYq
218,غوالي عليا عزاز كيف عيوني,سيد بومدين (شادي الجبل),غوالي عليا عزاز كيف عيوني - ما نهونهم و من البال ما ينسوني,مطلع الأغنية/رأس البيت فقط,سيد بومدين (شادي الجبل),,شعبي,ShadeeAljabal.jpg,غير معروف,جيد,https://on.soundcloud.com/7zp8s
